8P6BWS-10|GK03ED|144600000|1200|0|PUBLIC
8P6BWS-10|GK03ED|144600000|1200|51|PUBLIC
AA0RC-10|EM49AE|145030000|1200|0|PUBLIC
AA0RC-10|EM49AE|145030000|1200|51|PUBLIC
AA1LO-10|FN43QH|145730000|1200|0|PUBLIC
AA3E-10|FN20GD|145050000|1200|0|PUBLIC
AA3E-10|FN20GD|145050000|1200|51|PUBLIC
AA4RL-10|EM67LS|145010000|1200|0|PUBLIC
AA4UT-10|EM85AX|145050000|1200|0|PUBLIC
AA5DE-10|EM10DP|145610000|1200|0|PUBLIC
AA5DE-10|EM10DP|145610000|9600|52|PUBLIC
AA5QJ-10|DM26IE|145050000|1200|0|PUBLIC
AB1PH-10|FN42JD|145090000|1200|0|PUBLIC
AB3U-10|FM07AG|145090000|1200|0|PUBLIC
AB3YY-10|FM19SA|145010000|1200|0|PUBLIC
AB3YY-10|FM19SA|145010000|1200|51|PUBLIC
AB4CD-10|EM64KO|145070000|1200|0|PUBLIC
AB4NX-10|EM74UL|145710000|1200|0|PUBLIC
AB7AA-10|DM42KH|144930000|1200|0|EMCOMM
AB7AA-10|DM42KH|145150000|1200|0|EMCOMM
AB7AA-10|DM42KH|440925000|9600|3|EMCOMM
AB8DT-14|EN73FF|145070000|1200|0|PUBLIC
AC0TG-10|EM13XD|145050000|1200|0|PUBLIC
AC2FH|FN13VD|145070000|1200|51|PUBLIC
AC4ZR-10|EM94KX|145010000|1200|0|PUBLIC
AC4ZR-10|EM94KX|145090000|1200|0|PUBLIC
AC4ZR-10|EM94KX|446500000|1200|0|PUBLIC
AC6LS-10|DM04WD|145070000|1200|0|EMCOMM
AC6LS-10|DM04WD|145070000|9600|52|EMCOMM
AC7BR-10|DN40AM|145050000|1200|0|PUBLIC
AC7II-10|DN41BN|145050000|9600|52|PUBLIC
AC7SR-10|CN86MQ|145630000|1200|0|PUBLIC
AC7SR-10|CN86MQ|145630000|9600|52|PUBLIC
AC9DE-10|EN62AX|145050000|1200|0|PUBLIC
AC9DE-10|EN62AX|145610000|9600|52|PUBLIC
AD5EO-10|EM34RN|145030000|1200|0|PUBLIC
AD5JK-10|EM15FL|145010000|1200|0|PUBLIC
AD6DM-10|CM98HJ|145630000|1200|0|PUBLIC
AD6DM-10|CM98HJ|145630000|9600|52|PUBLIC
AD7DD-10|DN17JQ|145030000|1200|0|PUBLIC
AD7DQ-10|DN13VV|145010000|1200|0|PUBLIC
AD9OV-10|EM58HV|145610000|1200|0|PUBLIC
AE2A-10|EL98LM|144970000|9600|52|PUBLIC
AE2A-10|EL98LM|145070000|1200|0|PUBLIC
AE2A-10|EL98LM|441050000|9600|52|PUBLIC
AE4ML-10|FM18CE|145550000|1200|0|PUBLIC
AE4ML-10|FM18CE|145550000|9600|52|PUBLIC
AE4ML-11|FM18CE|440450000|9600|52|PUBLIC
AE4ML-12|FM18GH|145550000|1200|0|PUBLIC
AE4ML-13|FM18GH|440450000|1200|0|PUBLIC
AE5ME-14|EM26CB|145030000|1200|51|PUBLIC
AE6EQ-7|CM95PH|446950000|9600|3|EMCOMM
AE7LW-10|CN88RJ|145630000|1200|0|PUBLIC
AE7LW-11|CN88RJ|145630000|9600|52|PUBLIC
AE7LW-12|CN88RJ|440875000|1200|0|PUBLIC
AE7MK-10|CN97UJ|145030000|1200|0|EMCOMM
AE7ZQ-10|CN85RM|144990000|1200|0|PUBLIC
AF4PM-10|CN88ML|145690000|1200|0|PUBLIC
AF4Y-10|EM87MD|145070000|1200|0|PUBLIC
AF4Y-10|EM87MD|145070000|1200|51|PUBLIC
AF5NG-10|EM51BG|145010000|1200|0|PUBLIC
AF5NG-3|EM51CE|145010000|1200|0|PUBLIC
AF9W-10|CN87TW|145630000|1200|0|PUBLIC
AF9W-10|CN87TW|145670000|9600|52|PUBLIC
AG4ZR-10|EM73QF|144910000|1200|0|PUBLIC
AG4ZR-10|EM73QF|145710000|1200|0|PUBLIC
AG6AG-10|DM04NE|145050000|1200|0|PUBLIC
AG6MO-10|DM14EC|145090000|1200|0|PUBLIC
AG7MM-10|DN32CM|145010000|1200|0|PUBLIC
AG7MM-10|DN32BM|438500000|9600|3|PUBLIC
AG7MM-10|DN32BM|438500000|9600|52|PUBLIC
AG7NA-10|CN87WS|145070000|1200|0|PUBLIC
AH6EZ|CN88PB|145650000|9600|3|PUBLIC
AH6EZ-11|CN88PB|145650000|9600|52|PUBLIC
AH6JA|BK29KQ|145090000|9600|52|PUBLIC
AH6JA-10|BK29KQ|145090000|1200|0|PUBLIC
AH6QK|BL11CJ|145050000|9600|52|PUBLIC
AH6QK-10|BL11CJ|145050000|1200|0|PUBLIC
AH6VF|BL11DI|145070000|1200|51|PUBLIC
AH7RF|BL11BH|145070000|1200|51|PUBLIC
AH7RF-10|BL11BH|145070000|1200|0|PUBLIC
AH7S|BL10SR|145090000|9600|52|PUBLIC
AI4RC-10|EM97SD|145730000|1200|0|PUBLIC
AI4RC-9|EM97EP|145730000|1200|0|PUBLIC
AI5RC-10|EL09SK|145090000|1200|0|PUBLIC
AI5RC-10|EL09SK|145090000|1200|51|PUBLIC
AI6EE-10|CM88RC|144910000|1200|0|PUBLIC
AI7HH-10|DM33TM|441300000|9600|3|PUBLIC
AI7HH-10|DM33TM|441300000|9600|52|PUBLIC
AI7RJ-11|CN87PJ|144990000|9600|52|PUBLIC
AI7RJ-12|CN87PJ|433300000|9600|52|PUBLIC
AI9F-10|EM58SQ|145610000|1200|0|PUBLIC
